t_s,pwm_cmd,omega_real_rad_s
7.000000,-0.700000,4.92861223
7.020000,-0.700000,5.08759928
7.040000,-0.700000,4.92861223
7.060000,-0.700000,5.08759928
7.080000,-0.700000,4.92861223
7.100000,-0.700000,5.08759928
7.120000,-0.700000,4.92861223
7.140000,-0.700000,5.08759928
7.160000,-0.700000,4.92861223
7.180000,-0.700000,4.92861223
7.200000,-0.700000,5.08759928
7.220000,-0.700000,4.92861223
7.240000,-0.700000,5.08759928
7.260000,-0.700000,4.92861223
7.280000,-0.700000,5.08759928
7.300000,-0.700000,4.92861223
7.320000,-0.700000,4.92861223
7.340000,-0.700000,5.08759928
7.360000,-0.700000,5.08759928
7.380000,-0.700000,4.92861223
7.400000,-0.700000,4.92861223
7.420000,-0.700000,5.08759928
7.440000,-0.700000,4.92861223
7.460000,-0.700000,5.08759928
7.480000,-0.700000,4.92861223
7.500000,-0.700000,5.08759928
7.520000,-0.700000,4.92861223
7.540000,-0.700000,4.92861223
7.560000,-0.700000,5.08759928
7.580000,-0.700000,4.92861223
7.600000,-0.700000,5.08759928
7.620000,-0.700000,4.92861223
7.640000,-0.700000,5.08759928
7.660000,-0.700000,4.92861223
7.680000,-0.700000,5.08759928
7.700000,-0.700000,4.92861223
7.720000,-0.700000,4.92861223
7.740000,-0.700000,5.08759928
7.760000,-0.700000,4.92861223
7.780000,-0.700000,5.08759928
7.800000,-0.700000,4.92861223
7.820000,-0.700000,5.08759928
7.840000,-0.700000,4.92861223
7.860000,-0.700000,5.08759928
7.880000,-0.700000,4.92861223
7.900000,-0.700000,5.08759928
7.920000,-0.700000,4.92861223
7.940000,-0.700000,5.08759928
7.960000,-0.700000,4.92861223
7.980000,-0.700000,5.08759928
8.000000,-0.700000,4.92861223
8.020000,-0.700000,4.92861223
8.040000,-0.700000,5.08759928
8.059999,-0.700000,4.92861223
8.080000,-0.700000,5.08759928
8.099999,-0.700000,4.92861223
8.120000,-0.700000,5.08759928
8.139999,-0.700000,4.92861223
8.160000,-0.700000,5.08759928
8.179999,-0.700000,4.92861223
8.200000,-0.700000,5.08759928
8.220000,-0.700000,4.92861223
8.240000,-0.700000,4.92861223
8.260000,-0.700000,5.08759928
8.280000,-0.700000,5.08759928
8.300000,-0.700000,4.92861223
8.320000,-0.700000,4.92861223
8.340000,-0.700000,5.08759928
8.360000,-0.700000,4.92861223
8.380000,-0.700000,5.08759928
8.400000,-0.700000,4.92861223
8.420000,-0.700000,5.08759928
8.440000,-0.700000,4.92861223
8.460000,-0.700000,5.08759928
8.480000,-0.700000,4.92861223
8.500000,-0.700000,5.08759928
8.520000,-0.700000,4.92861223
8.540000,-0.700000,5.08759928
8.559999,-0.700000,4.92861223
8.580000,-0.700000,5.08759928
8.599999,-0.700000,4.92861223
8.620000,-0.700000,5.08759928
8.639999,-0.700000,4.92861223
8.660000,-0.700000,5.08759928
8.679999,-0.700000,4.92861223
8.700000,-0.700000,5.08759928
8.720000,-0.700000,4.92861223
8.740000,-0.700000,5.08759928
8.760000,-0.700000,4.92861223
8.780000,-0.700000,5.08759928
8.800000,-0.700000,4.92861223
8.820000,-0.700000,5.08759928
8.840000,-0.700000,4.92861223
8.860000,-0.700000,5.08759928
8.880000,-0.700000,4.92861223
8.900000,-0.700000,5.08759928
8.920000,-0.700000,4.92861223
8.940000,-0.700000,4.92861223
8.960000,-0.700000,5.08759928
8.980000,-0.700000,5.08759928
9.000000,-0.700000,4.92861223
9.020000,-0.700000,4.92861223
9.040000,-0.700000,5.08759928
9.059999,-0.700000,4.92861223
9.080000,-0.700000,5.08759928
9.099999,-0.700000,4.92861223
9.120000,-0.700000,5.08759928
9.139999,-0.700000,4.92861223
9.160000,-0.700000,5.08759928
9.179999,-0.700000,4.92861223
9.200000,-0.700000,5.08759928
9.220000,-0.700000,4.92861223
9.240000,-0.700000,5.08759928
9.260000,-0.700000,4.92861223
9.280000,-0.700000,5.08759928
9.300000,-0.700000,4.92861223
9.320000,-0.700000,5.08759928
9.340000,-0.700000,5.08759928
9.360000,-0.700000,4.92861223
9.380000,-0.700000,5.08759928
9.400000,-0.700000,4.92861223
9.420000,-0.700000,4.92861223
