phi0_omega_k,phi1_u_k,y_omega_k1
6.20051193,-0.48999986,6.04152441
6.04152441,-0.44999987,5.72354937
5.72354937,-0.40999988,5.24658728
5.24658728,-0.36999989,4.92861223
4.92861223,-0.32999989,4.61063719
4.61063719,-0.28999990,4.13367462
4.13367462,-0.24999991,3.81569982
3.81569982,-0.20999992,3.49772453
3.49772453,-0.16999993,3.02076221
3.02076221,-0.12999994,2.86177468
2.86177468,-0.08999994,2.38481236
2.38481236,-0.04999994,1.90784991
1.90784991,-0.00999994,1.74886227
1.74886227,0.00000000,1.27189982
1.27189982,0.00000000,0.95392495
0.95392495,0.00000000,0.63594991
0.63594991,0.00000000,0.31797495
0.31797495,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.04000000,0.00000000
0.00000000,0.08000000,0.00000000
0.00000000,0.12000000,0.00000000
0.00000000,0.16000000,0.00000000
0.00000000,0.19999999,0.00000000
0.00000000,0.23999998,0.00000000
0.00000000,0.27999997,0.00000000
0.00000000,0.31999996,0.00000000
0.00000000,0.35999995,0.00000000
0.00000000,0.39999995,0.00000000
0.00000000,0.43999994,0.00000000
0.00000000,0.47999993,0.00000000
0.00000000,0.51999992,-0.15898748
-0.15898748,0.55999994,-0.31797495
-0.31797495,0.59999996,-1.11291242
-1.11291242,0.63999999,-1.90784991
-1.90784991,0.68000001,-3.02076221
-3.02076221,0.69999999,-3.97468710
-3.97468710,0.69999999,-4.45164967
-4.45164967,0.69999999,-4.76962471
-4.76962471,0.69999999,-4.92861223
-4.92861223,0.69999999,-4.92861223
-4.92861223,0.69999999,-4.92861223
-4.92861223,0.69999999,-5.08759928
-5.08759928,0.69999999,-4.92861223
-4.92861223,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.69999999,-4.92861223
-4.92861223,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.65999997,-4.92861223
-4.92861223,0.61999995,-4.61063719
-4.61063719,0.57999992,-4.45164967
-4.45164967,0.53999990,-4.29266214
-4.29266214,0.49999991,-3.81569982
-3.81569982,0.45999992,-3.65671229
-3.65671229,0.41999993,-3.49772453
-3.49772453,0.37999994,-3.02076221
-3.02076221,0.33999994,-2.70278740
-2.70278740,0.29999995,-2.54379964
-2.54379964,0.25999996,-2.22582483
-2.22582483,0.21999997,-1.90784991
-1.90784991,0.17999998,-1.58987486
-1.58987486,0.13999999,-1.27189982
-1.27189982,0.09999999,-0.95392495
-0.95392495,0.05999999,-0.63594991
-0.63594991,0.01999999,-0.15898748
-0.15898748,-0.02000001,0.00000000
0.00000000,-0.06000001,0.00000000
0.00000000,-0.10000001,0.00000000
0.00000000,-0.14000002,0.00000000
0.00000000,-0.18000001,0.00000000
0.00000000,-0.22000000,0.00000000
0.00000000,-0.25999999,0.00000000
0.00000000,-0.29999998,0.00000000
0.00000000,-0.33999997,0.00000000
0.00000000,-0.37999997,0.00000000
0.00000000,-0.41999996,0.00000000
0.00000000,-0.45999995,0.00000000
0.00000000,-0.49999994,0.00000000
0.00000000,-0.53999996,0.15898748
0.15898748,-0.57999998,0.63594991
0.63594991,-0.62000000,1.58987486
1.58987486,-0.66000003,2.38481236
2.38481236,-0.69999999,3.49772453
3.49772453,-0.69999999,4.29266214
4.29266214,-0.69999999,4.45164967
4.45164967,-0.65999997,4.61063719
4.61063719,-0.61999995,4.29266214
4.29266214,-0.57999992,3.97468710
3.97468710,-0.53999990,3.81569982
3.81569982,-0.49999991,3.49772453
3.49772453,-0.45999992,3.33873725
3.33873725,-0.41999993,2.86177468
2.86177468,-0.37999994,2.86177468
2.86177468,-0.33999994,2.38481236
2.38481236,-0.29999995,2.06683731
2.06683731,-0.25999996,1.90784991
1.90784991,-0.21999997,1.43088734
1.43088734,-0.17999998,1.27189982
1.27189982,-0.13999999,0.95392495
0.95392495,-0.09999999,0.63594991
0.63594991,-0.05999999,0.47696248
0.47696248,-0.01999999,0.00000000
0.00000000,0.02000001,-0.15898748
-0.15898748,0.06000001,0.00000000
0.00000000,0.10000001,0.00000000
0.00000000,0.14000002,0.00000000
0.00000000,0.18000001,0.00000000
0.00000000,0.22000000,0.00000000
0.00000000,0.25999999,0.00000000
0.00000000,0.29999998,0.00000000
0.00000000,0.25999999,0.00000000
0.00000000,0.22000000,0.00000000
0.00000000,0.18000001,0.00000000
0.00000000,0.14000002,0.00000000
0.00000000,0.10000002,0.00000000
0.00000000,0.06000002,0.00000000
0.00000000,0.02000002,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,-0.04000000,0.00000000
0.00000000,-0.08000000,0.00000000
0.00000000,-0.12000000,0.00000000
0.00000000,-0.16000000,0.00000000
0.00000000,-0.19999999,0.00000000
0.00000000,-0.23999998,0.00000000
0.00000000,-0.27999997,0.00000000
0.00000000,-0.31999996,0.00000000
0.00000000,-0.35999995,0.00000000
0.00000000,-0.39999995,0.00000000
0.00000000,-0.43999994,0.00000000
0.00000000,-0.47999993,0.00000000
0.00000000,-0.51999992,0.00000000
0.00000000,-0.55000001,0.15898748
0.15898748,-0.55000001,0.31797495
0.31797495,-0.55000001,0.63594991
0.63594991,-0.55000001,0.63594991
0.63594991,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.59000003,1.11291242
1.11291242,-0.63000005,1.74886227
1.74886227,-0.67000008,2.86177468
2.86177468,-0.69999999,3.65671229
3.65671229,-0.69999999,4.29266214
4.29266214,-0.69999999,4.61063719
4.61063719,-0.69999999,4.76962471
4.76962471,-0.69999999,4.92861223
4.92861223,-0.69999999,4.76962471
4.76962471,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,5.08759928
5.08759928,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,5.08759928
5.08759928,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,4.92861223
4.92861223,-0.69999999,5.08759928
5.08759928,-0.69999999,4.92861223
4.92861223,-0.74000001,5.08759928
5.08759928,-0.78000003,6.04152441
6.04152441,-0.82000005,6.83646202
6.83646202,-0.85000002,7.79038668
7.79038668,-0.85000002,8.42633629
8.42633629,-0.85000002,8.90329933
8.90329933,-0.85000002,8.90329933
8.90329933,-0.85000002,8.90329933
8.90329933,-0.85000002,9.06228733
9.06228733,-0.85000002,9.06228733
9.06228733,-0.85000002,9.22127438
9.22127438,-0.85000002,9.06228733
9.06228733,-0.85000002,9.06228733
9.06228733,-0.85000002,9.22127438
9.22127438,-0.85000002,9.06228733
9.06228733,-0.85000002,9.06228733
