t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,error_rad_s,u_eff,pwm_cmd,delta_cnt,position_cnt
3.360,8.000000,7.790387,7.795519,0.204481,-0.535641,0.791039,-49,-7655
3.380,8.000000,7.790387,7.794749,0.205251,-0.535646,0.791041,-49,-7704
3.400,8.000000,7.790387,7.794094,0.205906,-0.535650,0.791043,-49,-7753
3.420,8.000000,7.949374,7.817386,0.182614,-0.535509,0.790979,-50,-7803
3.440,8.000000,7.790387,7.813335,0.186665,-0.535534,0.790990,-49,-7852
3.460,8.000000,7.790387,7.809893,0.190107,-0.535555,0.791000,-49,-7901
3.480,8.000000,7.790387,7.806967,0.193033,-0.535572,0.791008,-49,-7950
3.500,8.000000,7.790387,7.804480,0.195520,-0.535587,0.791014,-49,-7999
3.520,8.000000,7.790387,7.802365,0.197635,-0.535600,0.791020,-49,-8048
3.540,8.000000,7.790387,7.800568,0.199432,-0.535611,0.791025,-49,-8097
3.560,8.000000,7.790387,7.799041,0.200959,-0.535620,0.791029,-49,-8146
3.580,8.000000,7.790387,7.797742,0.202258,-0.535628,0.791033,-49,-8195
3.600,8.000000,7.949374,7.820487,0.179513,-0.535491,0.790971,-50,-8245
3.620,8.000000,7.790387,7.815972,0.184028,-0.535518,0.790983,-49,-8294
3.640,8.000000,7.790387,7.812134,0.187866,-0.535541,0.790993,-49,-8343
3.660,8.000000,7.790387,7.808872,0.191128,-0.535561,0.791002,-49,-8392
3.680,8.000000,7.790387,7.806099,0.193901,-0.535577,0.791010,-49,-8441
3.700,8.000000,7.949374,7.827590,0.172410,-0.535448,0.790951,-50,-8491
3.720,8.000000,7.790387,7.822009,0.177991,-0.535481,0.790967,-49,-8540
3.740,8.000000,7.790387,7.817266,0.182734,-0.535510,0.790980,-49,-8589
3.760,8.000000,7.790387,7.813233,0.186767,-0.535534,0.790990,-49,-8638
3.780,8.000000,7.790387,7.809806,0.190194,-0.535555,0.791000,-49,-8687
3.800,8.000000,7.790387,7.806893,0.193107,-0.535573,0.791008,-49,-8736
3.820,8.000000,7.790387,7.804417,0.195583,-0.535588,0.791014,-49,-8785
3.840,8.000000,7.790387,7.802312,0.197688,-0.535600,0.791020,-49,-8834
3.860,8.000000,7.949374,7.824371,0.175629,-0.535467,0.790960,-50,-8884
3.880,8.000000,7.790387,7.819273,0.180727,-0.535498,0.790974,-49,-8933
3.900,8.000000,7.790387,7.814940,0.185060,-0.535524,0.790986,-49,-8982
3.920,8.000000,7.790387,7.811257,0.188743,-0.535546,0.790996,-49,-9031
3.940,8.000000,7.790387,7.808126,0.191874,-0.535565,0.791004,-49,-9080
3.960,8.000000,7.949374,7.829313,0.170687,-0.535437,0.790947,-50,-9130
3.980,8.000000,7.790387,7.823474,0.176526,-0.535473,0.790963,-49,-9179
4.000,8.000000,7.790387,7.818511,0.181489,-0.535503,0.790976,-49,-9228
4.020,8.000000,7.790387,7.814292,0.185708,-0.535528,0.790988,-49,-9277
4.040,8.000000,7.790387,7.810706,0.189294,-0.535550,0.790997,-49,-9326
4.060,8.000000,7.949374,7.831507,0.168493,-0.535424,0.790941,-50,-9376
4.080,8.000000,7.790387,7.825338,0.174662,-0.535461,0.790958,-49,-9425
4.100,8.000000,7.790387,7.820096,0.179904,-0.535493,0.790972,-49,-9474
4.120,8.000000,7.790387,7.815639,0.184361,-0.535520,0.790984,-49,-9523
4.140,8.000000,7.790387,7.811851,0.188149,-0.535543,0.790994,-49,-9572
4.160,8.000000,7.949374,7.832479,0.167521,-0.535418,0.790938,-50,-9622
4.180,8.000000,7.790387,7.826165,0.173835,-0.535456,0.790955,-49,-9671
4.200,8.000000,7.790387,7.820798,0.179202,-0.535489,0.790970,-49,-9720
4.220,8.000000,7.790387,7.816236,0.183764,-0.535516,0.790982,-49,-9769
4.240,8.000000,7.790387,7.812359,0.187641,-0.535540,0.790993,-49,-9818
4.260,8.000000,7.790387,7.809063,0.190937,-0.535560,0.791002,-49,-9867
4.280,8.000000,7.949374,7.830110,0.169890,-0.535433,0.790945,-50,-9917
4.300,8.000000,7.790387,7.824151,0.175849,-0.535469,0.790961,-49,-9966
4.320,8.000000,7.790387,7.819086,0.180914,-0.535499,0.790975,-49,-10015
4.340,8.000000,7.790387,7.814781,0.185219,-0.535525,0.790986,-49,-10064
4.360,8.000000,7.790387,7.811122,0.188878,-0.535547,0.790996,-49,-10113
4.380,8.000000,7.949374,7.831860,0.168140,-0.535422,0.790940,-50,-10163
4.400,8.000000,7.790387,7.825638,0.174362,-0.535460,0.790957,-49,-10212
4.420,8.000000,7.790387,7.820350,0.179650,-0.535491,0.790971,-49,-10261
4.440,8.000000,7.790387,7.815856,0.184144,-0.535519,0.790983,-49,-10310
4.460,8.000000,7.790387,7.812035,0.187965,-0.535542,0.790994,-49,-10359
4.480,8.000000,7.790387,7.808788,0.191212,-0.535561,0.791003,-49,-10408
4.500,8.000000,7.949374,7.829876,0.170124,-0.535434,0.790945,-50,-10458
4.520,8.000000,7.790387,7.823952,0.176048,-0.535470,0.790961,-49,-10507
