k,t_k1_s,pwm_k,u_eff_k,omega_k_rad_s,omega_k1_rad_s
441,8.840000,-0.700000,-0.333333,5.08759928,5.08759928
442,8.860000,-0.700000,-0.333333,5.08759928,5.08759928
443,8.880000,-0.700000,-0.333333,5.08759928,5.08759928
444,8.900000,-0.700000,-0.333333,5.08759928,4.92861223
445,8.920000,-0.700000,-0.333333,4.92861223,5.08759928
446,8.940000,-0.700000,-0.333333,5.08759928,5.08759928
447,8.960000,-0.700000,-0.333333,5.08759928,5.08759928
448,8.980000,-0.700000,-0.333333,5.08759928,5.08759928
449,9.000000,-0.700000,-0.333333,5.08759928,5.08759928
450,9.020000,-0.700000,-0.333333,5.08759928,5.08759928
451,9.040000,-0.700000,-0.333333,5.08759928,5.08759928
452,9.059999,-0.700000,-0.333333,5.08759928,4.92861223
453,9.080000,-0.700000,-0.333333,4.92861223,5.08759928
